Nom,résumé,relation
 Poe ,"Chatbot développé par Quora, conçu pour répondre à des questions complexes en utilisant plusieurs modèles d'IA.","A1, A2, A3, C3"
 Type.AI ,"Assistant IA pour la rédaction de contenu, le résumé d'articles et l'optimisation des textes pour les blogs et publications en ligne","A3, C1"
 Gladia ,"Plateforme d'IA pour le traitement de l'audio, permettant d'analyser et de transformer des fichiers audio en informations exploitables.",C1
 Spotify AI DJ ,Assistant IA intégré à Spotify qui crée des listes de lecture personnalisées en fonction des préférences musicales de l'utilisateur.,C1
Let's Enhance,Outil d'IA pour améliorer la résolution et la qualité des images tout en préservant les détails.,C1
 Bing AI ,Chatbot développé par Microsoft qui combine des capacités de recherche et des réponses conversationnelles basées sur l'intelligence artificielle.,"A1, A3"
 Hugging Face ,Plateforme open-source d'outils IA et de modèles de machine learning pour la recherche et le développement,C1
 GPT-3 (OpenAI Playground) ,"Plateforme interactive permettant d'utiliser GPT-3 pour générer du texte, répondre à des questions et interagir avec un chatbot.",C1
Stable Diffusion,,A3
DALL·E,"Modèle d'IA générant des images à partir de descriptions textuelles, facilitant la créativité et l'illustration visuelle.",A3
 Paraphraser AI ,Outil d'IA pour reformuler et résumer des textes afin de rendre les informations plus claires et concises.,A3
 Notion AI ,"Assistant IA intégré à Notion qui aide à rédiger, résumer et organiser des idées et des tâches.","A1, A2, A3, B1, B3, C1"
 Yaara ,Rédigez rapidement du contenu convaincant et rentable grâce à l'IA pour augmenter les,C1
 Google Bard ,Assistant conversationnel IA de Google conçu pour répondre à des questions complexes en utilisant des modèles avancés de traitement du langage naturel.,"A1, A3, B1, B2, B3"
Dream by WOMBO,Outil de génération d'art basé sur l'IA permettant de créer des œuvres uniques à partir de descriptions textuelles.,C1
 Copilot ,Le “chatGPT” de microsoft,"A1, A3, B1, B2, B3"
Nolej IA,Aide à la conception pédagogique dynamique et interactive à partir d’un texte statique grâce à l’IA,A3
SMART ENSEIGNO,évalue les élèves et propose des parcours personnalisés,C2
MATHIA,évalue les élèves et propose des parcours personnalisés,A1
ADAPTIV’MATH,évalue les élèves et propose des parcours personnalisés,"A1, A2"
DoNotPay ,"DoNotPay, premier avocat-robot, offre des conseils juridiques via IA (en anglais).",C1
MusicLM, L'IA de Google pour générer de la musique à partir de prompts.,C1
Mubert ,"Crée des bandes-son sur mesure grâce à l'IA, s'adaptant à l'humeur et au tempo pour divers",C1
SheetAI,Permet de créer des Google Sheets et updater des tableaux en tapant simplement ce dont vous avez,"A1, B3, C1"
SpeakAI ,"Une IA qui transforme n'importe quoi (URLs, vidéos, photos, textes...) en data et en insight.","A1, A2, A3"
AdCreative ,Une plateforme qui vous permet de générer des visuels publicitaires grâce à l'intelligence artificielle.,C1
HoppyCopy ,HoppyCopy permet d'écrire des emails convaincants 10 fois plus vite grâce à l'intelligence,C1
ContentBot ,"Une intelligence artificielle qui rédige du contenu pour votre blog, vos campagnes marketing ou vos",C1
GoMoonBeam ,"GoMoonBeam est un assistant IA pour rédiger sans partir de zéro, aidant à créer articles, blogs et",C1
Stealth GPT ,Une IA conversationnelle qui vous garantie qu'elle écrit comme un humain et n'est pas détectable.,A3
Rytr ,"Une IA pour vous aider à rédiger des textes pour tous vos projets (articles, bio, publicités, etc.)","A1, A3"
Content Idea Generator ,Un générateur de titres pour vos articles. Entrez le sujet principal et l'outil vous propose ensuite des,C1
 Spinbot ,Une intelligence artificielle qui permet de retravailler vos textes (en anglais).,A1
IdeasAI ,"Une plateforme qui génère, via une IA, des idées de start-up. Vous pouvez les liker ou non comme sur",C1
This Person Does Not ,Un site qui génère via une intelligence artificielle des visages humains (rafraîchir la page pour,"A3, B1, B2"
Face Generator,Une intelligence artificielle pour créer des visages sans identité pour vos projets.,A3
Leonardo.AI ,"Leonardo.ai crée des éléments de jeux via IA, comme des objets, environnements et art",C1
Image Upscaler,"Outil d'IA permettant d'agrandir des images tout en préservant les détails, optimisé pour une utilisation professionnelle.",C1
Photosonic,,"A3, B3"
Morise AI ,Morise AI facilite la création de titres et vidéos virales en étudiant vos anciens contenus grâce à,"A1, A3"
Pictory ,,A3
Synthesia ,,A3
Looka ,"Looka est un outil IA pour concevoir des logos et créer une identité de marque rapidement,",C1
GPTZero ,"GPTZero est un modèle de classification détectant si un texte est écrit par une IA ou un humain, offrant","A1, C2"
LearningPrompting,"Une formation open source pour apprendre à communiquer avec l'IA, combinant cours vidéo et",C3
GPTAnywhere ,Une extension Google Chrome qui permet d'utiliser ChatGPT où vous voulez sur votre navigateur et,A1
Mixo,"Mixo, générateur de sites web par IA, permet de lancer et développer des startups en quelques secondes sans coder.","A3, C1"
DeepL,Outil de traduction IA offrant des traductions précises et contextuelles entre plusieurs langues,A1
